section,method,family,runs,complete_1m_runs,branches,environments,seeds,meta_lrs,initializations,backends,classification_reasons
ablation,iql_amo,iql_amo_lel2,55,54,svcho,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1,0.0003;0.001;0.002,beta=1.0,jax,execution_meta_lel2
ablation,iql_amo,iql_amo_qweight_jax,140,122,ext_csv,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2,0.0003;0.001;0.002,beta=1.0;beta=2.0;beta=5.0,jax,method_variant:iql_amo_qweight_jax
ablation,iql_amo,iql_ddpgbc,360,360,ext_csh,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001;0.002,beta=?,torch,initial_beta_outside_main;method_variant:iql_ddpgbc
ablation,iql_amo,iql_ddpgbc_amo_fixed_alpha_E,3,3,ext_csv;svcho,hopper-medium-v2,0;1,,beta=?,jax,initial_beta_outside_main;meta_lr_outside_main;method_variant:iql_ddpgbc_amo_fixed_alpha_E
ablation,iql_amo,qweight,110,108,shchoi,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-v2,2;3,0.0003;0.001;0.002,beta=1.0;beta=2.0;beta=5.0,jax,method_variant:qweight
ablation,td3_amo,adaptive_multiscale,451,340,choi;ext_csh;ext_csv;shchoi,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;halfcheetah-random-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;hopper-random-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0002;0.0003;0.0005;0.001;0.002,alpha_E/alpha_B=0.01/0.01;alpha_E/alpha_B=0.2/0.2;alpha_E/alpha_B=10/10;alpha_E/alpha_B=10/2;alpha_E/alpha_B=2/0.5;alpha_E/alpha_B=2/2;alpha_E/alpha_B=20/20;alpha_E/alpha_B=?/?,torch,bootstrap_loss_not_l2_rms;critic_architecture;execution_loss;initial_scale_mismatch;initial_scale_outside_main;meta_lr_outside_main;multi_step;q_normalization;scale_ratio
ablation,td3_amo,adroit_T1_Tlr1e3,48,48,svcho,door-cloned-v1;door-expert-v1;door-human-v1;hammer-cloned-v1;hammer-expert-v1;hammer-human-v1;pen-cloned-v1;pen-expert-v1;pen-human-v1;relocate-cloned-v1;relocate-expert-v1;relocate-human-v1,0;1;2;3,0.001,alpha_E/alpha_B=2/2,jax,adroit;bootstrap_loss_not_l2_rms
ablation,td3_amo,adroit_T5_Tlr1e3,48,48,svcho,door-cloned-v1;door-expert-v1;door-human-v1;hammer-cloned-v1;hammer-expert-v1;hammer-human-v1;pen-cloned-v1;pen-expert-v1;pen-human-v1;relocate-cloned-v1;relocate-expert-v1;relocate-human-v1,0;1;2;3,0.001,alpha_E/alpha_B=10/10,jax,adroit;bootstrap_loss_not_l2_rms;initial_scale_outside_main;method_variant:adroit_T5_Tlr1e3
ablation,td3_amo,amo_td3bc,9,9,shchoi,halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0,0.0002,alpha_E/alpha_B=2.5/2.5,torch,bootstrap_loss_not_l2_rms;initial_scale_outside_main;meta_lr_outside_main;method_variant:amo_td3bc
ablation,td3_amo,antmaze_t_init_tune,32,30,choi,antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2,0,0.0002,alpha_E/alpha_B=10/10;alpha_E/alpha_B=10/2;alpha_E/alpha_B=10/20;alpha_E/alpha_B=2/10;alpha_E/alpha_B=2/2;alpha_E/alpha_B=2/20;alpha_E/alpha_B=20/10;alpha_E/alpha_B=20/2;alpha_E/alpha_B=20/20,torch,bootstrap_loss_not_l2_rms;initial_scale_mismatch;initial_scale_outside_main;meta_lr_outside_main
ablation,td3_amo,behavior_bc_l1_joint,6,6,ext_csv,antmaze-medium-play-v2;antmaze-umaze-diverse-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-v2,0,,alpha_E/alpha_B=8/8,torch,bootstrap_loss_not_l2_rms;critic_architecture;execution_loss;initial_scale_outside_main;meta_lr_outside_main;method_variant:behavior_bc_l1_joint
ablation,td3_amo,four_eval_fixed_n,10,0,svcho,hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0,,alpha_E/alpha_B=20/20;alpha_E/alpha_B=8/8,torch,bootstrap_loss_not_l2_rms;critic_architecture;initial_scale_outside_main;meta_lr_outside_main;method_variant:four_eval_fixed_n
ablation,td3_amo,pi_local,3,2,svcho,antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2,0,,alpha_E/alpha_B=?/?,torch,bootstrap_loss_not_l2_rms;initial_scale_outside_main;meta_lr_outside_main;method_variant:pi_local
ablation,td3_amo,pi_local_aspc,6,6,svcho,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2,0,,alpha_E/alpha_B=?/?,torch,bootstrap_loss_not_l2_rms;initial_scale_outside_main;meta_lr_outside_main;method_variant:pi_local_aspc
ablation,td3_amo,pi_only,3,1,svcho,antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2,0,,alpha_E/alpha_B=?/?,torch,bootstrap_loss_not_l2_rms;initial_scale_outside_main;meta_lr_outside_main;method_variant:pi_only
ablation,td3_amo,rebrac_amo,9,9,shchoi,halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0,0.0002,alpha_E/alpha_B=2/2,torch,bootstrap_loss_not_l2_rms;meta_lr_outside_main;method_variant:rebrac_amo
ablation,td3_amo,segment_interval,5,0,choi;ext_csh;shchoi;svcho,hopper-medium-expert-v2,0,0.0002,alpha_E/alpha_B=2.5/2.5,torch,bootstrap_loss_not_l2_rms;initial_scale_outside_main;meta_lr_outside_main;method_variant:segment_interval
ablation,td3_amo,t_path_schedule,66,64,svcho,halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0,0.0002,alpha_E/alpha_B=2/2;alpha_E/alpha_B=20/20,torch,bootstrap_loss_not_l2_rms;initial_scale_outside_main;meta_lr_outside_main;method_variant:t_path_schedule;scale_schedule
ablation,td3_amo,td3_amo_adaptive_B1_E5_lrmatch,60,54,ext_csh;ext_csv,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001;0.002,alpha_E/alpha_B=5/1,jax,initial_scale_mismatch;method_variant:td3_amo_adaptive_B1_E5_lrmatch
ablation,td3_amo,td3_amo_design_ablation,64,63,svcho,antmaze-medium-diverse-v2;hopper-medium-replay-v2;walker2d-medium-replay-v2,0;1;2;3,0.0003;0.002,alpha_E/alpha_B=5/5,jax,bootstrap_loss_not_l2_rms;execution_loss;execution_only;method_variant:td3_amo_design_ablation
ablation,td3_amo,td3_amo_directq_fo,96,96,svcho,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001;0.002,alpha_E/alpha_B=5/5,jax,execution_loss;method_variant:td3_amo_directq_fo
ablation,td3_amo,td3_amo_directq_l2rms,12,12,ext_csv,antmaze-medium-diverse-v2;hopper-medium-replay-v2;walker2d-medium-replay-v2,0;1;2;3,0.0003;0.002,alpha_E/alpha_B=5/5,jax,execution_loss;method_variant:td3_amo_directq_l2rms
ablation,td3_amo,td3_amo_dual_lel2,180,180,svcho,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001;0.002,alpha_E/alpha_B=5/5,jax,method_variant:td3_amo_dual_lel2
ablation,td3_amo,td3_amo_execonly_le,85,85,svcho,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,2;3,0.0003;0.001;0.002,alpha_E/alpha_B=1/1,jax,execution_only;method_variant:td3_amo_execonly_le
ablation,td3_amo,td3_amo_execonly_main,303,300,ext_csh;svcho,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;door-expert-v1;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hammer-expert-v1;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;pen-expert-v1;relocate-expert-v1;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0001;0.0003;0.001;0.002,alpha_E/alpha_B=1/1;alpha_E/alpha_B=5/5,jax,adroit;execution_only;meta_lr_outside_main
ablation,td3_amo,td3_amo_firstorder_l2rms,12,12,ext_csv,antmaze-medium-diverse-v2;hopper-medium-replay-v2;walker2d-medium-replay-v2,0;1;2;3,0.0003;0.002,alpha_E/alpha_B=5/5,jax,execution_loss;method_variant:td3_amo_firstorder_l2rms
ablation,td3_amo,td3_amo_fixed1,48,48,shchoi,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2,0;1;2;3,0.001;0.002,alpha_E/alpha_B=5/1,jax,initial_scale_mismatch;method_variant:td3_amo_fixed1
ablation,td3_amo,td3_amo_fixedB5_lrgrid,49,48,ext_csv,halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001,alpha_E/alpha_B=5/5,jax,method_variant:td3_amo_fixedB5_lrgrid
ablation,td3_amo,td3_amo_fixedB_lrmatch,24,24,ext_csv,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-play-v2;halfcheetah-medium-expert-v2;hopper-medium-expert-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001,alpha_E/alpha_B=5/5,jax,method_variant:td3_amo_fixedB_lrmatch
ablation,td3_amo,td3_amo_fixed_alpha_B,262,246,ext_csh;ext_csv;svcho,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001;0.002,alpha_E/alpha_B=5/1;alpha_E/alpha_B=5/5,jax,initial_scale_mismatch;method_variant:td3_amo_fixed_alpha_B
ablation,td3_amo,td3_amo_freeze_main_final_alpha,60,60,svcho,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001;0.002,alpha_E/alpha_B=11.7768/9.78986;alpha_E/alpha_B=12.5988/10.1601;alpha_E/alpha_B=13.4739/9.19413;alpha_E/alpha_B=13.6677/8.9972;alpha_E/alpha_B=13.7092/9.33966;alpha_E/alpha_B=18.8423/17.4111;alpha_E/alpha_B=19.2738/12.819;alpha_E/alpha_B=19.3925/13.3617;alpha_E/alpha_B=19.6463/16.9963;alpha_E/alpha_B=20.7376/18.2063;alpha_E/alpha_B=23.2785/16.7344;alpha_E/alpha_B=7.10218/7.12954;alpha_E/alpha_B=7.47634/6.31746;alpha_E/alpha_B=7.65611/5.96445;alpha_E/alpha_B=7.76753/6.66078,jax,initial_scale_mismatch;initial_scale_outside_main;method_variant:td3_amo_freeze_main_final_alpha
ablation,td3_amo,td3_amo_jax,604,602,choi;ext_csv;shchoi;svcho,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001;0.002,alpha_E/alpha_B=1/1;alpha_E/alpha_B=2/2;alpha_E/alpha_B=5/5,jax,bootstrap_loss_not_l2_rms
ablation,td3_amo,td3_amo_le_bel2_a5,114,97,ext_csv,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2,0.0003;0.001;0.002,alpha_E/alpha_B=5/5,jax,bootstrap_loss_not_l2_rms;method_variant:td3_amo_le_bel2_a5
ablation,td3_amo,td3_amo_rapo,36,36,ext_csh,door-expert-v1;hammer-expert-v1;pen-expert-v1;relocate-expert-v1,0;1;2,0.0001;0.0003;0.001,alpha_E/alpha_B=5/5,jax,adroit;meta_lr_outside_main;method_variant:td3_amo_rapo
ablation,td3_amo,td3_amo_split_meta_lr,16,16,ext_csv,antmaze-umaze-diverse-v2;hopper-medium-expert-v2,0;1;2;3,0.0003;0.001;0.002,alpha_E/alpha_B=5/5,jax,method_variant:td3_amo_split_meta_lr
ablation,wpc,paper_benchmark,48,32,ext_csh,halfcheetah-expert-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-expert-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-v2,0;1;2;3,,—,torch,policy_noise
main,a2pr,aspc_table1,76,76,svcho,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-expert-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;halfcheetah-random-v2;hopper-expert-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-expert-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,,—,torch,
main,aspc,benchmark,77,73,choi;shchoi,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-expert-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-expert-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-expert-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,,—,torch,
main,fql_amo,fql_amo_jax,12,12,ext_csv,antmaze-large-diverse-v2;halfcheetah-medium-replay-v2;hopper-medium-expert-v2,0;1;2;3,0.001,alpha_E/alpha_B=5/5,jax,
main,iql,benchmark,15,15,choi,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0,,—,torch,
main,iql,vanilla,44,44,choi;offrl,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-expert-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,,—,jax;torch,
main,iql_amo,amo_bpi,617,609,choi;ext_csh;shchoi;svcho,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001;0.002,beta=1.0;beta=2.0;beta=5.0,jax;torch,
main,td3_amo,td3_amo_bootrms_maincand,540,540,svcho,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001;0.002,alpha_E/alpha_B=1/1;alpha_E/alpha_B=2/2;alpha_E/alpha_B=5/5,jax,
main,td3bc+rc,aspc_rc,60,60,choi,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,,—,torch,
main,wpc,benchmark,67,66,choi;shchoi;svcho,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-expert-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-expert-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-expert-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,,—,torch,
